红色食品,适宜人群,全部人群
职务侵占罪,犯罪客体,单位的财产所有权
职务侵占罪,最低量刑,三个月拘役
罗曼蒂克,定义,灵魂爱恋
星空卫视,隶属机构,星空传媒
星空卫视,播出方式,高标清同播
左江石景林,地理位置,位于崇左市城南区
崇左斜塔,外形,呈八角面体
大连工业大学,类别,公立大学
大连工业大学,属性,卓越计划
大连工业大学,所属地区,辽宁省大连市
香港电影金像奖,颁奖周期,每年一次
四川大学华西医院,医院等级,三级甲等
四川大学华西医院,医院类型,综合医院
四川大学华西医院,经营性质,非营利性医疗机构
娱乐营销,所属范围,市场营销
北海银滩,地理位置,广西北海
广西药用植物园,地理,南宁市兴宁区
广西药用植物园,性质,药物植园
广西药用植物园,所属城市,广西省南宁市
手机红外接口,作用,设备之间数据交流
手机红外接口,工具,红外接口
天津财经大学,类别,公立大学
天津财经大学,属性,天津市属重点大学
天津财经大学,所属地区,中国天津
天津财经大学,主管部门,天津市教育委员会
河北大学,类别,公立大学
河北大学,主管部门,河北省人民政府
河北大学,镇校之宝,坤舆全图
希望工程,性质,公益事业
中国电影金鸡奖,颁奖周期,两年一次
滦平县第一中学,简称,滦平一中
滦平县第一中学,所属地区,河北省滦平县
壮志凌云,类型,飞行类励志真人秀
壮志凌云,播出频道,江苏卫视
壮志凌云,播出状态,播出完毕
壮志凌云,特约赞助,蒙牛纯甄
壮志凌云,接档,星厨驾到
壮志凌云,被接档,原来是你
环达路桥,隶属,湖南省公路管理局
生存之道,唱片公司,华研国际
松本秀人,出生地,神奈川县横须贺市
哥特摇滚,别称,哥特音乐
网易公司,公司名称,网易公司
网易公司,总部地点,中国广州
网易公司,公司性质,互联网技术公司
网易公司,公司口号,网聚人的力量
电视制式,概念,电视信号的标准
码分多址,专业,通信技术
中国劳动关系学院,类别,公立大学
中国劳动关系学院,属性,中央部属高校
中国劳动关系学院,知名校友,高圆圆等
中国劳动关系学院,主管部门,中华全国总工会
敲诈勒索罪,解释,非法占有他人财物
华北电力大学,所属地区,中国北京
华北电力大学,类别,公立大学
东北电力大学,类别,公立大学
东北电力大学,所属地区,吉林省吉林市
东北电力大学,主要奖项,国家科技进步奖
金花茶公园,类型,茶花专类园
金花茶公园,位置,南湖之滨
模拟城市,游戏类型,城市建造
模拟城市,所属系列,模拟城市
模拟城市,内容主题,城市建造游戏系列
模拟城市,语言,多国语言
锡林浩特,地理位置,内蒙古中部
锡林浩特,机场,锡林浩特机场
锡林浩特,火车站,锡林浩特站
锡林浩特,高等学府,锡林郭勒职业学院
临清市第二中学,简称,临清二中
临清市第二中学,主要奖项,山东省规范化学校
绯闻女孩,拍摄地点,美国纽约
绯闻女孩,发行公司,华纳兄弟影片公司
柏林国际电影节,举办地点,德国柏林
科罗拉多大峡谷,行政区类别,亚利桑那州
科罗拉多大峡谷,所属地区,美国西部
故意毁坏财物罪,犯罪构成,客体要件
故意毁坏财物罪,侵犯的客体,公私财物的所有权
嵌入式系统,分类,计算机科学类
爱斯基摩人,别称,因纽特人
爱斯基摩人,人种,蒙古人种北极类型
戛纳国际电影节,最高奖项,金棕榈奖
车田正美,出生地,东京都中央区
石原贵雅,民族,日韩混血
天津商业大学,类别,公立大学
天津商业大学,属性,天津市属重点大学
天津商业大学,所属地区,中国天津
天津商业大学,主管部门,天津市人民政府
天津商业大学,校歌,天津商业大学校歌
破坏生产经营罪,犯罪主体,一般主体
沃尔夫奖,宗旨,促进全世界科学
闽江学院,类别,公立大学
闽江学院,所属地区,福建省福州市
板级支持包,定义,操作系统一部分
关中八景,别名,长安八景
关中八景,属性,古文物风景名胜
威尼斯国际电影节,主办单位,威尼斯艺术节
西郊动物园,类别,综合性动物园
东京国际电影节,别名,东京电影节
东京国际电影节,举办地点,日本东京
东京国际电影节,最高奖项,金麒麟奖
阿贝尔奖,类型,数学界大奖
阿贝尔奖,目的,扩大数学的影响
贡嘎冰川,定义,大型综合性风景区
鸳鸯泉风景区,地理位置,凤山县城东
圣丹斯国际电影节,别称,日舞影展
漩涡鸣人,饰演,屋良朝幸
漩涡鸣人,家族,漩涡一族
漩涡鸣人,忍道,有话直说
漩涡鸣人,母亲,漩涡玖辛奈
漩涡鸣人,妻子,漩涡雏田
漩涡鸣人,儿子,漩涡博人
漩涡鸣人,女儿,漩涡向日葵
富坚义博,民族,大和民族
富坚义博,出生地,山形县新庄市
富坚义博,毕业院校,山形大学
富坚义博,妻子,武内直子
红水河七百弄,景点级别,国家地质公园资格
一塌糊涂,成语结构,偏正式成语
一塌糊涂,使用程度,常用成语
一塌糊涂,感情色彩,贬义成语
说文解字,书名,说文解字
欢天喜地七仙女,制片地区,中国大陆
罗平九龙瀑布群,气候类型,亚热带季风气候
三里洋渡风景区,类别,自然风景区
大豆异黄酮,植物,豆科植物
波音达猎犬,中文学名,波音达猎犬
波音达猎犬,亚门,脊椎动物亚门
波音达猎犬,亚纲,真兽亚纲
纳斯达克,公司名称,纳斯达克
纳斯达克,总部地点,美国纽约州纽约市
纳斯达克,经营范围,证券交易
建筑节能,提高,能源利用效率
建筑节能,目的,降低能耗
白令海峡,所属地区,亚欧大陆
白令海峡,海水温度,常年封冻
孝庄文皇后,出生地,蒙古科尔沁
孝庄文皇后,陵墓,清东陵之昭西陵
太阳耀斑,发生部位,太阳色球层
甲级写字楼,甲级专业,物业管理
广西职业技术学院,类别,公立大学
广西职业技术学院,属性,省属专科高校
广西职业技术学院,主管部门,广西自治区
广西职业技术学院,校歌,思明湖之歌
安慰剂效应,提出者,毕阙博士
高桥留美子,民族,大和民族
高桥留美子,出生地,日本新潟县
重庆大学,类别,公立大学
重庆大学,校歌,重庆大学校歌
重庆大学,发展定位,世界一流大学
背叛国家罪,表现为,勾结外国
西北工业大学,类别,公立大学
西北工业大学,目标定位,世界一流大学
南京气象学院,类别,公立大学
奥林匹斯十二主神,所属,希腊神话
海市蜃楼,原理,光的折射
北京市十一学校,类别,公立完全中学
北京市十一学校,所属地区,中国北京
闽清一中,简称,闽清一中
闽清一中,类别,福建省一流高中
闽清一中,所属地区,福建闽清
闽清一中,学校性质,普通高中
闽清一中,官方社团,梅园文学社
电子竞技,平台,对战平台
关中八大怪,流行地区,陕西省的关中地区
关中八大怪,类型,风俗习惯
星空传媒,公司名称,星空传媒集团
病毒营销,全称,病毒式网络营销
病毒营销,归属,口碑营销方式
热带风暴,发生地区,热带地区海洋
星际介质和星云,星云属于,星际物质
本草纲目,归属类别,中医典籍
我爱我家,类型,情景喜剧
有限产权房,主要来源,政府或企业补贴
玛尔济斯犬,中文学名,马尔济斯犬
玛尔济斯犬,别称,马耳他犬
玛尔济斯犬,亚门,脊椎动物亚门
玛尔济斯犬,亚纲,真兽亚纲
玛尔济斯犬,亚目,裂脚亚目
大槐树祭祖习俗,地理位置,山西省洪洞县
大槐树祭祖习俗,申报地区,山西省洪洞县
喜乐蒂牧羊犬,中文学名,喜乐蒂牧羊犬
喜乐蒂牧羊犬,亚门,脊椎动物亚门
喜乐蒂牧羊犬,亚纲,真兽亚纲
喜乐蒂牧羊犬,亚目,裂脚亚目
北京市第十一中学,简称,十一中学
北京市第十一中学,类别,公立中学
直管房产,定义,国家经租等的房产
那大狗肉,产于,儋州市那大镇
预售面积,功能,销售形式
河外星系,别称,河外星云
全新唯物哲学,别名,全新哲学
颜氏家训,作品名称,颜氏家训
蒜苔肉丝,所属菜谱,家常菜谱
煽动分裂国家罪,客体,国家的统一
煽动分裂国家罪,主体,一般主体
实际销售面积,类型,商品房屋面积
实际销售面积,特点,正式交付给购房者
上海商业会计学校,学校属性,上海市教育委员会
儒林外史,作品名称,儒林外史
儒林外史,文学体裁,长篇小说
二十四节气,起源,黄河流域
二十四节气,理论反映,太阳的周年视运动
阿尔卑斯山脉,地理位置,欧洲中南部
阿尔卑斯山脉,造山运动,阿尔卑斯造山运动
京韵大鼓,起源,木板大鼓
京韵大鼓,流行地区,京津及东北地区
中国传媒大学,类别,公立大学
厦门大学,类别,公立大学
厦门大学,校训,自强不息止于至善
川菜菜谱,类别,美食佳饮
豹死留皮,近义词,人死留名
饲养小狗,所属系列,休闲益智类型
华夏银行,公司名称,华夏银行
华夏银行,公司性质,股份制银行
华夏银行,上市市场,上海证券交易所
武装叛乱暴乱罪,繁体字,武裝叛亂暴亂罪
武装叛乱暴乱罪,类别,刑事犯罪
聚力视频,经营范围,网络视频服务
聚力视频,公司口号,每个人的网络电视
四大发明,发明时间,中国古代
四大发明,影响,间接加剧全球化
仪表着陆系统,别称,盲降系统
手冢治虫,别名,手塚治虫
手冢治虫,民族,大和民族
手冢治虫,出生地,大阪府丰中市
星湖湿地公园,类型,岩溶湖泊型湿地
星湖湿地公园,级别,国家湿地公园
面粉爆炸,时间,二战期间
似水年华,制片地区,中国内地
武林外传吧,成员,四万五千余名
武林外传吧,性质,探讨交流的平台
中冶东方,公司名称,中冶东方
中冶东方,经营范围,工程技术
现实主义,别名,写实主义
现实主义,时间,十九世纪
牧夫天文论坛,面向人群,天文爱好者
大连海事大学,类别,公立大学
大连海事大学,学校类型,部属高校
饮食禁忌,书名,饮食禁忌
饮食禁忌,出版社,辽宁科技出版社
天生不凡,作者,出水小葱水上飘
天生不凡,类型,国术武技
天生不凡,连载状态,已经完本
肇庆梅庵,创建人,僧人智元
肇庆梅庵,别名,肇庆市博物馆
肇庆梅庵,所在景区,梅庵景区
大觉寺中心小学,所属地区,河北唐山市
休闲网游,类别,网络游戏
休闲网游,特点,轻薄短小精致
试管婴儿技术,别称,体外受精
试管婴儿技术,就诊科室,生殖医学科
东交民巷小学,主要奖项,北京市百所先进校
须弥山石窟,气候类型,亚热带季风气候
须弥山石窟,荣誉,中国十大石窟之一
经院哲学,目的,训练神职人员
房前屋后,制片地区,中国大陆
学海无涯,作品名称,学海无涯
罗纳尔迪尼奥,出生地,阿雷格里港
土肥原贤二,信仰,军国主义
土肥原贤二,师父,坂西利八郎
土肥原贤二,军衔,日本陆军大将
土肥原贤二,主要罪行,建立伪满州国
土肥原贤二,罪名,甲级战犯
开封大学,类别,公立大学
开封大学,所属地区,中国河南省开封市
开封大学,主管部门,开封市人民政府
中国国家航天局,机构性质,非军事机构
北京吉利学院,类别,民办大学
北京吉利学院,属性,市属本科高校
北京吉利学院,所属地区,中国北京
北京吉利学院,主管部门,北京市教育委员会
人文主义,本质,理论体系
藤木直人,出生地,日本千叶県
藤木直人,毕业院校,早稻田大学
江西科技学院,类别,普通高校
江西科技学院,属性,民办本科高校
江西科技学院,主管部门,江西省教育厅
江西科技学院,校歌,同一片蓝天
外来入侵物种,危害,破坏生态平衡
水无怜奈,其他名称,水无怜奈
武汉市江夏区纸坊,地址,武汉市城区琼西路
类风湿关节炎,就诊科室,风湿免疫科
飞出地球,书名,飞出地球
陕西十大怪,别称,关中八大怪
中央司法警官学院,类别,公立大学
中央司法警官学院,属性,部属高校
中央司法警官学院,主要奖项,全国文明单位
金山词霸,软件名称,金山词霸
金山词霸,开发商,金山软件
金山词霸,类别,翻译词典
高脂血症,就诊科室,内分泌科
诸子百家,时期,中国先秦时期
吉尼斯世界纪录,作者,麦克沃特孪生兄弟
吉尼斯世界纪录,作者,麦克沃特孪生兄弟
小川哲也,出生地,滋贺县米原市
西部牛仔,别称,马背上的英雄
西部牛仔,活动范围,美国西部
生物多样性,关键,物种的多样性
教育技术学,学科,教育学二级学科
天津职业大学,类别,公立大学
天津职业大学,属性,高等职业院校
天津职业大学,主管部门,天津市教育委员会
陕西小吃,软件名称,陕西小吃
肇庆宋城墙,地理位置,广东省肇庆市
前列腺疾病,就诊科室,泌尿外科
苏云金杆菌,中文学名,苏云金芽孢杆菌
江西财经大学,类别,公立大学
江西财经大学,属性,省部共建高校
江西财经大学,校训,信敏廉毅
投敌叛变罪,对象,中国公民
投敌叛变罪,依据,刑法的规定
投敌叛变罪,繁体字,投敵叛變罪
投敌叛变罪,类别,刑事犯罪
昂山素季,出生地,缅甸仰光
昂山素季,信仰,上座部佛教
中国人民解放军,成立的标志,发动南昌起义
西沙群岛,别名,千里长沙
西沙群岛,行政所属,中国海南省三沙市
王家大院,景区地位,中国民居艺术馆
王家大院,所属城市,山西省晋中市
台湾大学,类别,公立大学
台湾大学,所属地区,中国台湾
萨满祭祀,起源于,萨满祭祀
萨满祭祀,目的,请神以祈福佑
秦始皇陵,陵主,秦始皇嬴政
秦始皇陵,声誉,世界第八大奇迹
秦始皇陵,所属城市,陕西省西安市
洛阳牡丹,中文学名,洛阳牡丹
洛阳牡丹,亚纲,原始被花植物亚纲
洛阳牡丹,亚科,芍药亚科
优希比吕,出生地,日本东京都
病灶性扁桃体炎,别称,病灶性扁桃体炎
病灶性扁桃体炎,判断一,询问病史
病灶性扁桃体炎,判断二,实验室检查
病灶性扁桃体炎,切除后,并发症得以治愈
孟村回族自治县,所属地区,河北省沧州市
孟村回族自治县,政府驻地,孟村镇民族街
孟村回族自治县,地理位置,河北省东南部
孟村回族自治县,途经铁路,邯黄铁路
兰芳大统制共和国,简称,兰芳共和国
兰芳大统制共和国,政治体制,议会制共和制
兰芳大统制共和国,国家礼服,各式汉服
兰芳大统制共和国,军服,清朝绿营兵服饰
河南工业大学,简称,河南工大
河南工业大学,类别,公立大学
河南工业大学,属性,省部共建大学
河南工业大学,主管部门,河南省人民政府
河南工业大学,校歌,河南工业大学校歌
复式结构,优点,平面利用系数高
肇庆西江三峡,著名景点,榕峡钓台
克隆技术,别称,复制或转殖
克隆技术,技术,生物技术
克隆技术,繁殖方式,无性生殖
肇庆包公祠,地理位置,广东肇庆
肇庆包公祠,著名景点,传奇壁画
百度音乐,类型,免费音乐服务
百度音乐,原名,千千静听
热血传奇,发行商,盛大网络
热血传奇,玩家人数,大型多人
陕西历史博物馆,类别,历史博物馆
陕西历史博物馆,博物馆等级,国家一级博物馆
陕西历史博物馆,所属城市,陕西省西安市
阿布罗狄,配音,难波圭一
阿布罗狄,登场作品,圣斗士星矢系列
阿布罗狄,修行地,格陵兰岛
五湖四海,释义,全国各地
屈兵之计,释义,指打败敌人的办法
燕京大学,类别,私立教会大学
燕京大学,所属地区,中国北京
黄土高原,地理位置,中国中部偏北部
黄土高原,别称,乌金高原
唯美主义,重大事件,王尔德入狱
阿比西尼亚猫,中文学名,阿比西尼亚猫
上海马戏城,美誉,中国马戏第一城
上海马戏城,地理位置,上海市静安区
西西里岛,气候,地中海气候
光盘驱动器速度,类别,电子科技
阿拉伯联合酋长国,首都,阿布扎比
阿拉伯联合酋长国,官方语言,阿拉伯语
阿拉伯联合酋长国,政治体制,贵族共和制
阿拉伯联合酋长国,主要民族,阿拉伯人
阿拉伯联合酋长国,主要宗教,伊斯兰教
阿拉伯联合酋长国,道路通行,靠右驾驶
阿拉伯联合酋长国,法律体系,伊斯兰教法
阿拉伯联合酋长国,原名,特鲁西尔阿曼
阿拉伯联合酋长国,主要学府,阿联酋大学
修正主义,又名,伯恩施坦主义
东条英机,别名,剃刀将军
东条英机,毕业院校,日本陆军大学
东条英机,妻子,伊藤胜子
最甜的叶,种类,草本植物
最甜的叶,分布,南美巴拉圭东部
首钢工学院,类别,公立大学
首钢工学院,主管部门,北京市教育委员会
首钢工学院,校歌,奔向明天的辉煌
显卡容量,别称,显示内存容量
司汤达综合症,对白语言,意大利语
美声男伶,类型,跨越类型音乐界线
美声男伶,伴奏,管弦乐重新
莫比乌斯带,相似物,克莱因瓶
莫比乌斯带,别名,莫比乌斯环
形状图层,类型,一种图层
上海海洋大学,简称,上海海洋
上海海洋大学,类别,公立大学
上海海洋大学,属性,省部共建高校
上海海洋大学,所属地区,中国上海
上海海洋大学,主管部门,上海市人民政府
上海海洋大学,校训,勤朴忠实
兰亭集序,作品名称,兰亭集序
兰亭集序,创作年代,东晋穆帝永和九年
劳斯莱斯,公司名称,劳斯莱斯汽车公司
劳斯莱斯,经营范围,高端汽车的生产
劳斯莱斯,公司性质,外商独资
劳斯莱斯,所属集团,宝马集团
鲁迅美术学院,类别,公立院校
巴基斯坦,简称,巴基斯坦
巴基斯坦,首都,伊斯兰堡
巴基斯坦,货币,巴基斯坦卢比
巴基斯坦,政治体制,议会制共和制
巴基斯坦,道路通行,靠左驾驶
巴基斯坦,法律体系,英美法系
巴基斯坦,地理最高点,乔戈里峰
凯迪拉克,所属公司,美国通用汽车集团
凯迪拉克,所属行业,汽车制造业
凯迪拉克,品牌定位,豪华汽车
工期定额,所属类别,国家事务
松井石根,民族,大和民族
松井石根,出生地,日本名古屋市
松井石根,信仰,军国主义
松井石根,军衔,陆军大将
诉讼保全,别称,财产保全
筱原千绘,出生地,神奈川县
兰博基尼,公司名称,兰博基尼汽车公司
兰博基尼,经营范围,高端汽车的生产
兰博基尼,公司性质,外商独资
兰博基尼,所属公司,大众集团
安徽农业大学,类别,公立大学
安徽农业大学,属性,安徽省属重点大学
安徽农业大学,主管部门,安徽省人民政府
秀才四艺,别名,文人四艺
秀才四艺,包含,琴棋书画
大叶仙茅,亚科,仙茅亚科
大叶仙茅,亚种,光叶仙茅
大叶仙茅,生长类型,宿根性草本
大叶黄杨,中文学名,大叶黄杨
大叶黄杨,亚纲,原始花被亚纲
黑客帝国,其它译名,骇客任务
黑客帝国,出品公司,华纳兄弟影片公司
黑客帝国,发行公司,华纳兄弟影片公司
黑客帝国,导演,沃卓斯基兄弟
黑客帝国,编剧,沃卓斯基兄弟
情色电影,制片成本,投资较少
北京市第二中学,简称,北京二中
北京市第二中学,所属地区,中国北京
北京市第二中学,类别,公立高中
北京市第二中学,学校属性,北京市高中示范校
山本五十六,民族,大和民族
山本五十六,出生地,日本新潟县长冈市
万年青属,中文学名,万年青属
西安钟楼,建筑年代,明洪武十七年
西安钟楼,所属城市,陕西省西安市
沙特阿拉伯,官方语言,阿拉伯语
沙特阿拉伯,货币,沙特里亚尔
沙特阿拉伯,政治体制,君主专制政体
沙特阿拉伯,主要民族,阿拉伯人
沙特阿拉伯,道路通行,靠右驾驶
不二周助,配音,甲斐田幸
野外辨别方向,类型,野外技能
野外辨别方向,对象,野外探险人员
周恩来纪念馆,门票价格,免费开放
受想行识,属性,佛教用语
承德避暑山庄,地理位置,河北省承德市
承德避暑山庄,气候类型,温带大陆性气候
承德避暑山庄,所属城市,河北省承德市
青绿山水,分类,山水画的一种
午夜魔兰,中文学名,午夜魔兰
热带雨林,分布区域,赤道附近
上海人民广场,地理位置,上海市黄浦区
上海人民广场,气候类型,亚热带季风气候
上海人民广场,开放时间,全天开放
上海人民广场,著名景点,南京路步行街
上海人民广场,所属地区,中国华东
形象设计,别称,形象顾问
浅绛山水,基础,水墨钩勒皴染
马来西亚,政治体制,议会制君主立宪制
马来西亚,道路通行,靠左驾驶
马来西亚,国家格言,团结就是力量
马来西亚,法律体系,英美法系
马来西亚,气候类型,热带雨林气候
广告礼品,用途,提高或扩大知名度
广告礼品,制造者,企事业单位
北京培黎职业学院,创办时间,一九八三年五月
北京培黎职业学院,类别,民办高校
北京培黎职业学院,所属地区,中国北京
北京培黎职业学院,主管部门,北京市教育委员会
土豆炖牛肉,特点,汤鲜甜可口
圣诞伽蓝菜,中文学名,圣诞伽蓝菜
十大元帅,所属军队,中国人民解放军
埃米纳姆,职业,说唱歌手
索诺拉沙漠,别名,索诺兰沙漠
储蓄管理条例,效力级别,行政法规
北村一辉,出生地,日本大阪府大阪市
江南四大才子,制片地区,中国内地
江南四大才子,类型,古装传奇喜剧
江南四大才子,首播平台,浙江卫视
阆中贡院,地理位置,四川省阆中古城
西安科技大学,类别,公立大学
西安科技大学,属性,省部共建大学
西安科技大学,所属地区,陕西西安
西安科技大学,主管部门,陕西省人民政府
西安科技大学,校训,祖国利益高于一切
尼泊尔王国,首都,加德满都
尼泊尔王国,官方语言,尼泊尔语
尼泊尔王国,货币,尼泊尔卢比
尼泊尔王国,政治体制,君主专制政体
尼泊尔王国,主要民族,尼泊尔人
安平丝网,地区,河北安平
黄花沟旅游区,地理位置,内蒙古自治区中部
黄花沟旅游区,所属国家,中华人民共和国
周口师范学院,简称,周口师院
周口师范学院,类别,公立大学
周口师范学院,属性,省属高等院校
周口师范学院,所属地区,河南周口
周口师范学院,主管部门,河南省教育厅
北美大草原,位置,美国中西部
新天鹅城堡,所属城市,巴伐利亚
浙江大学城市学院,类别,独立学院
浙江大学城市学院,知名校友,胡玮炜等
浙江大学城市学院,主管部门,杭州市人民政府
浙江大学城市学院,校训,求是创新
搜索引擎优化,别称,网站优化技术
搜索引擎优化,作用,提高有效访问量
鄂温克族,语言,鄂温克语
中华第一满汉全席,名称,中华第一满汉全席
中华第一满汉全席,类别,酒席名称
中华第一满汉全席,起源时间,乾隆时期
中华第一满汉全席,特点,菜品众多
伊东美咲,别名,榎本智子
伊东美咲,出生地,日本福岛县磐城市
椎名林檎,别名,椎名裕美子
椎名林檎,出生地,日本埼玉县浦和市
山东建筑大学,类别,公立大学
山东建筑大学,属性,省属高等院校
山东建筑大学,主管部门,山东省人民政府
阆中张飞庙,地点,四川省阆中市
阆中张飞庙,时间年代,蜀汉末期
清水佐纪,毕业院校,日出高校
小池澈平,别名,小池彻平
小池澈平,出生地,大阪府狭山市
扬州漆器,产地,中国江苏省扬州市
扬州漆器,起源时期,古代战国
孟加拉国,简称,孟加拉国
孟加拉国,官方语言,孟加拉语
孟加拉国,政治体制,议会制共和制
孟加拉国,主要民族,孟加拉族
孟加拉国,道路通行,靠左驾驶
孟加拉国,国兽,孟加拉虎
成都华西中学,校训,诚笃严毅
成都华西中学,类别,公立中学
成都华西中学,所属地区,中国四川省
法国大革命,结束标志,热月政变
通古斯大爆炸,现象,白夜现象
通古斯大爆炸,影响与危害,使树木无法生长
网站优化,平台,目标网站
网站优化,作用,提高网站排名
元搜索引擎,前景,辅助检索工具
元搜索引擎,结构,检索接口代理机制
幻灯助手,目的,控制幻灯片
鄂尔多斯,别名,伊克昭盟
鄂尔多斯,所属地区,中国西北
鄂尔多斯,政府驻地,康巴什区
天津师范大学,类别,公立大学
天津师范大学,属性,省属重点大学
天津师范大学,主管部门,天津市人民政府
球状闪电,别称,电光火球
指取设备,原因,受到体积上的限制
指取设备,用于,笔记本电脑
淮安镇淮楼,地点,淮安区城中心
淮安镇淮楼,时间,北宋年间
西安鼓楼,所属城市,陕西省西安市
龙虎山崖墓,解释,一种丧葬形式
龙虎山崖墓,代表,悬棺景观
龙虎山崖墓,特色演出,悬棺表演
幻灯助手,目的,控制幻灯片
指纹识别,主要应用,计算机中的应用
云贵高原,地理位置,中国西南部
云贵高原,气候类型,亚热带季风气候
川上伦子,出生地,日本东京都
国际足球联合会,总部地点,瑞士苏黎世
信阳师范学院,简称,信阳师院
信阳师范学院,类别,公立大学
网易泡泡,开发商,网易公司
全民大闷锅,节目口号,全民做老板
摩托罗拉,公司名称,摩托罗拉
摩托罗拉,公司性质,外商独资
摩托罗拉,公司口号,智重新定义手机
成都医学院,类别,公立大学
成都医学院,属性,普通高等院校
成都医学院,主管部门,四川省人民政府
成都医学院,校歌,成都医学院校歌
湖田古瓷窑遗址,地理位置,江西景德镇湖田村
九江县神墩遗址,气候类型,温带季风气候
新疆师范大学,简称,新疆师大
新疆师范大学,类别,公立大学
新疆师范大学,学校类型,综合师范类
新疆师范大学,属性,省属重点大学
新疆师范大学,主管部门,新疆维吾尔自治区
爱因斯坦第一假设,提出者,爱因斯坦
云南白药,药品名称,云南白药
云南白药,是否处方药,非处方药
云南白药,剂型,中药制剂
岳麓书院,气候类型,亚热带季风气候
岳麓书院,创办时间,北宋开宝九年
岳麓书院,所属高校,湖南大学
宇多田光,民族,大和民族
宇多田光,出生地,美国纽约曼哈顿
宇多田光,毕业院校,哥伦比亚大学
嵩阳书院,著名景点,汉封将军柏
嵩阳书院,所属城市,河南省登封市
卡夫丁峡谷,出自,古罗马史
生物信息学,书名,生物信息学
生物信息学,出版社,科学出版社
应天府书院,气候类型,温带季风气候
伊拉克战争,名称,伊拉克战争
海量科技,类型,有限公司
中国地质大学,类别,研究型大学
中国地质大学,学校类型,公立大学
中国地质大学,所属地区,中国北京市海淀区
中国地质大学,校歌,勘探队员之歌
中国地质大学,所属联盟,北京高科大学联盟
二十四孝故事,书名,二十四孝故事
二十四孝故事,又名,二十四孝诗集
二十四孝故事,出版社,苏州大学出版社
北京联合大学,简称,北京联大
北京联合大学,类别,公立大学
北京联合大学,所属地区,中国北京
北京联合大学,校训,学以致用
龟山汉墓,所属城市,江苏省徐州市
杰尼斯事务所,公司名称,杰尼斯事务所
杰尼斯事务所,总部地点,日本东京都涩谷区
杰尼斯事务所,公司性质,艺人经纪公司
失业保险条例,书名,失业保险条例
虚拟主机,项目,网站软件网络运营
虚拟主机,作用,网页寄存
塞尔维亚和黑山,首都,贝尔格莱德
塞尔维亚和黑山,货币,塞尔维亚第纳尔
塞尔维亚和黑山,时区,东一时区
塞尔维亚和黑山,道路通行,靠右行驶
爱因斯坦第二假设,属于,电和磁两种现象
拉齐奥足球俱乐部,中文队名,拉齐奥足球俱乐部
拉齐奥足球俱乐部,角逐赛事,意大利甲级联赛
拉齐奥足球俱乐部,所属地区,意大利罗马
拉齐奥足球俱乐部,主场馆,罗马奥林匹克球场
拉齐奥足球俱乐部,总部,福尔梅洛基地
巴勒斯坦,简称,巴勒斯坦
巴勒斯坦,首都,耶路撒冷
巴勒斯坦,官方语言,阿拉伯语
巴勒斯坦,货币,巴勒斯坦镑
巴勒斯坦,政治体制,半总统共和制
巴勒斯坦,主要民族,阿拉伯人
巴勒斯坦,道路通行,靠右驾驶
巴勒斯坦,气候类型,地中海气候
巴勒斯坦,主要学府,纳贾赫大学
云冈石窟,著名景点,昙耀五窟
云冈石窟,所属城市,山西省大同市
阿克萨烈士旅,国家,巴勒斯坦
椎名高志,民族,大和民族
椎名高志,毕业院校,京都市立艺术大学
土库曼斯坦,首都,阿什哈巴德
土库曼斯坦,官方语言,土库曼语
土库曼斯坦,货币,土库曼斯坦马纳特
土库曼斯坦,政治体制,总统制共和制
土库曼斯坦,主要民族,土库曼族
土库曼斯坦,道路通行,靠右行驶
手冢国光,饰演,泷川英治
手冢国光,配音,置鲇龙太郎
手冢国光,学校,青春学园中等部
手冢国光,父亲,手冢国晴
手冢国光,母亲,手冢彩菜
手冢国光,祖父,手冢国一
手冢国光,击球类型,全方位型
开复学生网,网站名称,开复学生网
开复学生网,网站类型,社区网站
云南省行政区划,行政区类别,省级行政区划
云南省行政区划,所属地区,中国西南
光速极限,提出人,爱因斯坦
大足石刻,地理位置,重庆市大足区
大足石刻,气候类型,亚热带季风气候
大足石刻,游玩季节,四季皆宜
爱因斯坦第三假设,性质,第三假设
爱因斯坦第三假设,人物,爱因斯坦
白石屋村,所属地区,山东省临沂市
白石屋村,特色戏曲,沂蒙山小调
垂直搜索引擎,性质,专业搜索引擎
华东革命烈士陵园,气候类型,温带季风气候
云南警官学院,类别,公立大学
云南警官学院,属性,普通高等院校
云南警官学院,校歌,云南警官学院校歌
利兹联足球俱乐部,中文队名,利兹联足球俱乐部
利兹联足球俱乐部,所属地区,西约克郡利兹市
利兹联足球俱乐部,主场馆,埃兰路球场
首次公开募股,发行,企业或公司
沂蒙六姐妹,其它译名,战争中的女人
沂蒙六姐妹,首映地点,京西宾馆礼堂
宇宙几何,结论,引力场影响时空
宇宙几何,类别,宇宙数学
华中农业大学,类别,公立大学
华中农业大学,所属地区,中国湖北武汉
玫瑰战争,名称,玫瑰战争
玫瑰战争,影响,都铎王朝建立
玫瑰战争,别名,蔷薇战争
算法复杂度,相关,时间复杂度
全球移动通信系统,应用,移动电话
莒南天佛,天佛特点,一山两佛
无丝分裂,适用对象,真核生物
中南大学,所属地区,中国湖南长沙
中南大学,类别,公立大学
中南大学,学校类型,综合研究型大学
中南大学,发展定位,世界一流大学
塞浦路斯,简称,塞浦路斯
塞浦路斯,首都,尼科西亚
